sex,age,age_cat,decile_score,v_decile_score,is_recid,is_violent_recid,score_text,screening_date,two_year_recid,priors_count,c_charge_degree,start,end,event,person_id,agency_text,ethnic_code_text,maritalstatus,language
male,73,greater than 45,1,1,0,0,low,2014-03-27,0,0,misdemeanor,0,736,0,62293.0,pretrial,caucasian,single,english
male,72,greater than 45,4,1,0,0,low,2013-09-23,0,7,felony,0,921,0,57523.0,pretrial,caucasian,single,english
male,72,greater than 45,1,1,0,0,low,2013-06-17,0,1,misdemeanor,0,1019,0,55122.0,pretrial,caucasian,divorced,english
male,72,greater than 45,1,1,0,0,low,2014-03-19,0,3,felony,0,744,0,62112.0,pretrial,caucasian,single,english
male,71,greater than 45,2,1,0,0,low,2013-08-18,0,13,felony,0,957,0,9038.0,pretrial,caucasian,divorced,english
male,71,greater than 45,7,3,0,0,medium,2013-01-04,0,12,misdemeanor,0,1183,0,6924.0,probation,african-american,single,english
male,71,greater than 45,1,2,0,0,low,2013-05-17,0,8,felony,24,1050,0,38597.0,pretrial,african-american,divorced,english
male,71,greater than 45,1,1,0,0,low,2013-06-25,0,1,misdemeanor,0,1011,0,55564.0,pretrial,caucasian,single,english
male,71,greater than 45,1,1,0,0,low,2013-11-08,0,3,misdemeanor,0,502,0,34034.0,pretrial,caucasian,single,english
male,70,greater than 45,1,1,0,0,low,2014-02-09,0,0,misdemeanor,0,782,0,61108.0,pretrial,caucasian,single,english
male,70,greater than 45,1,1,1,0,low,2014-03-26,1,11,felony,0,645,1,62279.0,pretrial,caucasian,single,english
female,70,greater than 45,1,1,0,0,low,2013-04-19,0,0,felony,0,1078,0,54079.0,pretrial,other,married,english
male,70,greater than 45,1,1,0,0,low,2013-03-04,0,0,misdemeanor,0,1124,0,52667.0,pretrial,african-american,married,english
male,70,greater than 45,1,1,0,0,low,2013-04-18,0,1,misdemeanor,0,1079,0,54034.0,pretrial,caucasian,married,english
female,70,greater than 45,1,1,0,0,low,2013-01-28,0,1,felony,1,1159,0,51618.0,pretrial,african-american,single,english
male,69,greater than 45,1,2,1,0,low,2013-03-13,1,6,misdemeanor,0,234,1,52941.0,pretrial,caucasian,separated,english
female,69,greater than 45,1,1,0,0,low,2014-02-17,0,0,misdemeanor,0,774,0,61288.0,pretrial,hispanic,divorced,english
male,69,greater than 45,1,1,1,0,low,2014-03-04,1,1,felony,0,37,0,61684.0,pretrial,african-american,separated,english
male,69,greater than 45,6,1,0,0,medium,2013-08-28,0,3,felony,0,947,0,49204.0,pretrial,african-american,married,english
male,69,greater than 45,5,1,0,0,medium,2013-01-19,0,0,felony,0,1168,0,51367.0,pretrial,caucasian,divorced,english
female,69,greater than 45,3,1,0,0,low,2013-10-17,0,5,felony,0,182,0,58185.0,pretrial,caucasian,married,english
male,69,greater than 45,1,1,1,0,low,2013-09-30,1,0,misdemeanor,0,86,1,57706.0,pretrial,caucasian,divorced,english
female,69,greater than 45,1,1,0,0,low,2013-02-04,0,2,misdemeanor,0,1152,0,51829.0,pretrial,caucasian,married,english
male,69,greater than 45,1,1,0,0,low,2013-01-31,0,0,misdemeanor,0,1156,0,51713.0,pretrial,caucasian,divorced,english
male,69,greater than 45,1,1,0,0,low,2013-07-10,0,0,misdemeanor,0,996,0,55773.0,pretrial,caucasian,single,english
male,69,greater than 45,1,2,0,0,low,2013-08-07,0,3,misdemeanor,0,968,0,56257.0,pretrial,african-american,married,english
male,69,greater than 45,5,4,0,0,medium,2014-02-06,0,22,misdemeanor,0,785,0,37476.0,pretrial,african-american,divorced,english
male,69,greater than 45,1,1,0,0,low,2013-10-03,0,0,misdemeanor,0,911,0,57804.0,pretrial,other,married,english
male,69,greater than 45,1,1,0,0,low,2014-03-31,0,0,misdemeanor,0,732,0,62373.0,pretrial,hispanic,married,english
male,69,greater than 45,1,1,0,0,low,2013-08-14,0,0,felony,0,327,0,56418.0,pretrial,other,single,english
male,68,greater than 45,1,1,0,0,low,2014-02-10,0,4,misdemeanor,10,781,0,61111.0,pretrial,caucasian,single,english
male,68,greater than 45,4,2,0,0,low,2013-12-20,0,2,felony,0,833,0,59878.0,pretrial,african-american,single,english
female,68,greater than 45,2,1,0,0,low,2013-10-21,0,5,felony,0,893,0,58264.0,pretrial,african-american,divorced,english
male,68,greater than 45,1,1,0,0,low,2013-01-08,0,0,misdemeanor,2,1179,0,50994.0,pretrial,caucasian,widowed,english
male,68,greater than 45,1,1,0,0,low,2013-10-08,0,2,felony,0,906,0,57967.0,pretrial,caucasian,married,english
male,68,greater than 45,4,1,0,0,low,2013-09-22,0,6,misdemeanor,2,640,0,57469.0,pretrial,african-american,single,english
male,68,greater than 45,1,1,0,0,low,2013-09-16,0,0,misdemeanor,0,928,0,57305.0,pretrial,hispanic,married,english
male,68,greater than 45,7,6,1,1,medium,2013-02-06,1,7,felony,4,452,1,51890.0,pretrial,caucasian,single,english
male,68,greater than 45,2,1,0,0,low,2013-06-26,0,1,felony,0,1010,0,55571.0,pretrial,african-american,divorced,english
male,67,greater than 45,1,1,0,0,low,2013-05-04,0,0,felony,1,1063,0,54498.0,pretrial,caucasian,single,english
male,67,greater than 45,1,1,0,0,low,2014-01-23,0,4,misdemeanor,0,799,0,60632.0,probation,african-american,married,english
male,67,greater than 45,1,1,0,0,low,2014-01-07,0,0,misdemeanor,0,815,0,60232.0,pretrial,caucasian,significant other,english
male,67,greater than 45,3,1,0,0,low,2013-04-06,0,1,felony,0,1091,0,53703.0,pretrial,caucasian,single,english
male,67,greater than 45,1,1,1,1,low,2013-12-14,1,0,misdemeanor,0,502,1,59672.0,pretrial,hispanic,married,english
male,67,greater than 45,1,1,1,0,low,2013-02-17,1,0,felony,23,33,1,52249.0,pretrial,caucasian,single,english
male,67,greater than 45,1,1,0,0,low,2013-08-20,0,0,misdemeanor,0,955,0,56578.0,pretrial,asian,single,english
female,67,greater than 45,1,1,0,0,low,2013-01-28,0,0,felony,1,1159,0,51619.0,pretrial,african-american,widowed,english
male,67,greater than 45,2,1,0,0,low,2014-01-07,0,2,felony,0,815,0,60235.0,pretrial,caucasian,single,english
female,67,greater than 45,1,1,0,0,low,2014-01-27,0,0,misdemeanor,0,795,0,60725.0,pretrial,caucasian,widowed,english
male,67,greater than 45,1,1,0,0,low,2013-01-26,0,3,felony,0,1161,0,51584.0,pretrial,caucasian,single,english
male,67,greater than 45,2,1,0,0,low,2013-02-20,0,3,felony,0,1136,0,25103.0,pretrial,african-american,married,english
male,67,greater than 45,1,1,0,0,low,2014-01-21,0,2,felony,0,801,0,60550.0,pretrial,caucasian,single,english
male,67,greater than 45,1,1,0,0,low,2013-04-29,0,0,misdemeanor,0,1068,0,54327.0,pretrial,caucasian,married,english
male,67,greater than 45,1,1,0,0,low,2013-09-16,0,2,felony,0,67,0,57320.0,pretrial,hispanic,divorced,english
male,67,greater than 45,1,1,0,0,low,2013-04-27,0,0,misdemeanor,42,1070,0,54314.0,pretrial,caucasian,single,english
male,67,greater than 45,1,1,0,0,low,2013-08-16,0,0,misdemeanor,0,959,0,56488.0,pretrial,caucasian,single,english
male,67,greater than 45,1,1,0,0,low,2013-02-25,0,0,felony,0,1131,0,52507.0,pretrial,hispanic,divorced,english
male,67,greater than 45,4,2,0,0,low,2014-03-02,0,8,felony,1,761,0,61624.0,pretrial,african-american,single,english
male,66,greater than 45,2,1,1,0,low,2013-06-18,1,5,misdemeanor,0,57,0,7114.0,pretrial,african-american,single,english
male,66,greater than 45,1,1,0,0,low,2013-11-06,0,3,felony,0,877,0,58788.0,probation,caucasian,single,english
male,66,greater than 45,1,1,0,0,low,2014-02-01,0,0,felony,0,790,0,60889.0,pretrial,caucasian,single,english
male,66,greater than 45,6,1,1,0,medium,2013-07-26,1,8,felony,0,571,1,55961.0,pretrial,african-american,divorced,english
female,66,greater than 45,1,1,0,0,low,2013-04-29,0,1,misdemeanor,0,1068,0,52983.0,pretrial,caucasian,single,english
male,66,greater than 45,1,1,0,0,low,2013-02-23,0,0,misdemeanor,0,1133,0,52461.0,pretrial,caucasian,married,english
male,66,greater than 45,2,1,1,0,low,2013-02-22,1,5,felony,0,318,1,52425.0,pretrial,african-american,separated,english
male,66,greater than 45,1,2,0,0,low,2013-02-27,0,1,felony,0,331,0,33083.0,pretrial,caucasian,single,english
male,66,greater than 45,1,1,1,1,low,2013-06-11,0,3,felony,0,943,1,55233.0,pretrial,african-american,married,english
male,66,greater than 45,6,2,1,0,medium,2013-12-21,1,33,felony,14,383,1,41026.0,pretrial,african-american,single,english
male,66,greater than 45,1,1,0,0,low,2014-03-06,0,0,misdemeanor,0,757,0,61760.0,pretrial,other,married,english
female,66,greater than 45,8,2,1,0,high,2013-12-14,1,11,felony,5,490,1,59668.0,pretrial,african-american,single,english
male,66,greater than 45,1,1,1,0,low,2013-08-14,1,0,misdemeanor,1,717,1,56430.0,pretrial,caucasian,single,english
male,66,greater than 45,1,1,0,0,low,2013-02-26,0,3,felony,0,101,0,52530.0,probation,african-american,separated,english
male,66,greater than 45,1,1,0,0,low,2013-08-19,0,0,misdemeanor,1,956,0,56541.0,pretrial,caucasian,married,english
male,66,greater than 45,1,1,0,0,low,2013-04-07,0,0,misdemeanor,0,1090,0,53712.0,pretrial,caucasian,divorced,english
male,66,greater than 45,1,1,0,0,low,2013-09-20,0,1,felony,0,924,0,57417.0,pretrial,caucasian,single,english
male,66,greater than 45,1,1,0,0,low,2013-01-13,0,1,misdemeanor,18,1174,0,51154.0,pretrial,caucasian,single,english
male,66,greater than 45,3,1,0,0,low,2013-04-04,0,2,misdemeanor,56,1093,0,53649.0,pretrial,caucasian,widowed,english
male,65,greater than 45,3,1,0,0,low,2013-02-20,0,4,misdemeanor,0,1136,0,52369.0,pretrial,caucasian,married,english
male,65,greater than 45,6,1,0,0,medium,2013-01-18,0,3,felony,0,1169,0,51336.0,pretrial,caucasian,single,english
male,65,greater than 45,1,1,0,0,low,2013-07-15,0,2,misdemeanor,0,991,0,54342.0,pretrial,caucasian,divorced,english
female,65,greater than 45,1,1,0,0,low,2013-05-07,0,0,misdemeanor,1,1060,0,54581.0,pretrial,caucasian,separated,english
male,65,greater than 45,10,4,0,0,high,2013-04-03,0,11,felony,0,1094,0,53627.0,pretrial,african-american,single,english
male,65,greater than 45,5,1,0,0,medium,2013-10-24,0,7,misdemeanor,0,607,0,58349.0,pretrial,african-american,single,english
female,65,greater than 45,1,1,1,0,low,2014-01-06,1,1,misdemeanor,0,169,1,60161.0,pretrial,caucasian,divorced,english
female,65,greater than 45,1,1,0,0,low,2013-12-24,0,1,felony,0,829,0,59960.0,pretrial,caucasian,divorced,english
male,65,greater than 45,4,1,0,0,low,2013-10-01,0,6,felony,0,773,0,57590.0,pretrial,caucasian,single,english
female,65,greater than 45,1,1,0,0,low,2013-10-07,0,1,felony,0,907,0,57901.0,pretrial,caucasian,married,english
female,65,greater than 45,1,1,0,0,low,2013-04-25,0,0,felony,0,1072,0,54234.0,pretrial,caucasian,widowed,english
female,65,greater than 45,1,1,0,0,low,2014-02-24,0,0,felony,0,767,0,61442.0,pretrial,african-american,married,english
male,65,greater than 45,1,1,0,0,low,2013-02-22,0,0,misdemeanor,1,21,0,52439.0,pretrial,caucasian,single,english
male,65,greater than 45,2,2,0,0,low,2013-08-05,0,3,felony,22,52,0,56153.0,pretrial,caucasian,divorced,english
male,64,greater than 45,1,1,0,0,low,2013-04-04,0,8,felony,0,1093,0,53629.0,pretrial,caucasian,widowed,english
male,64,greater than 45,1,1,0,0,low,2013-08-13,0,1,felony,0,962,0,56410.0,pretrial,hispanic,married,english
female,64,greater than 45,1,1,0,0,low,2013-10-22,0,0,felony,0,892,0,58290.0,pretrial,other,divorced,english
male,64,greater than 45,2,1,0,0,low,2013-10-07,0,0,misdemeanor,0,907,0,57897.0,pretrial,african-american,married,english
female,64,greater than 45,1,1,0,0,low,2013-10-10,0,1,felony,0,904,0,58000.0,pretrial,caucasian,single,english
male,64,greater than 45,3,2,0,0,low,2013-01-12,0,0,felony,307,1175,0,51121.0,pretrial,caucasian,single,english
male,64,greater than 45,6,2,0,0,medium,2013-09-17,0,13,misdemeanor,0,927,0,11694.0,pretrial,african-american,single,english
female,64,greater than 45,3,1,0,0,low,2013-09-06,0,7,misdemeanor,0,123,0,49669.0,probation,caucasian,single,english
male,64,greater than 45,7,1,0,0,medium,2013-12-26,0,20,felony,1,827,0,59977.0,pretrial,african-american,married,english
male,64,greater than 45,1,1,0,0,low,2013-06-03,0,1,misdemeanor,0,1033,0,55216.0,pretrial,hispanic,single,spanish
female,64,greater than 45,1,1,0,0,low,2013-04-27,0,0,felony,3,1070,0,54305.0,pretrial,african-american,divorced,english
male,64,greater than 45,4,1,0,0,low,2013-08-17,0,0,felony,3,958,0,56518.0,pretrial,african-american,single,english
female,64,greater than 45,1,1,0,0,low,2013-08-20,0,0,misdemeanor,0,955,0,56573.0,pretrial,caucasian,married,english
female,64,greater than 45,1,1,0,0,low,2014-03-31,0,2,misdemeanor,0,732,0,62395.0,pretrial,caucasian,married,english
male,64,greater than 45,1,1,0,0,low,2013-10-30,0,0,misdemeanor,0,884,0,58549.0,pretrial,caucasian,divorced,english
male,63,greater than 45,9,1,0,0,high,2013-03-12,0,3,misdemeanor,219,1116,0,52894.0,pretrial,african-american,single,english
male,63,greater than 45,1,1,0,0,low,2014-01-31,0,1,misdemeanor,0,791,0,60877.0,pretrial,caucasian,single,english
male,63,greater than 45,6,1,1,0,medium,2014-03-04,1,9,felony,2,59,1,61688.0,pretrial,african-american,single,english
male,63,greater than 45,1,1,0,0,low,2013-10-22,0,1,felony,0,892,0,58311.0,pretrial,caucasian,divorced,english
female,63,greater than 45,1,1,0,0,low,2013-02-23,0,0,misdemeanor,0,1133,0,52471.0,pretrial,caucasian,married,english
female,63,greater than 45,1,1,0,0,low,2014-01-22,0,1,felony,0,800,0,60602.0,pretrial,hispanic,widowed,english
male,63,greater than 45,6,2,0,0,medium,2013-06-13,0,1,felony,0,1023,0,55379.0,probation,african-american,single,english
male,63,greater than 45,3,2,0,0,low,2013-04-22,0,6,felony,24,1075,0,54139.0,pretrial,african-american,widowed,english
male,63,greater than 45,1,1,0,0,low,2014-03-29,0,2,misdemeanor,1,734,0,46131.0,pretrial,african-american,single,english
male,63,greater than 45,1,1,0,0,low,2013-10-24,0,0,misdemeanor,0,890,0,58343.0,pretrial,african-american,single,english
male,63,greater than 45,9,5,0,0,high,2013-09-16,0,16,misdemeanor,0,928,0,57304.0,pretrial,african-american,separated,english
male,63,greater than 45,1,1,0,0,low,2014-02-09,0,1,felony,1,782,0,61107.0,pretrial,african-american,single,english
male,63,greater than 45,9,5,1,0,high,2013-02-15,1,22,misdemeanor,0,272,1,27125.0,pretrial,african-american,single,english
male,63,greater than 45,4,2,1,0,low,2014-03-30,1,23,felony,1,123,0,62371.0,pretrial,other,separated,english
male,63,greater than 45,1,1,0,0,low,2013-02-12,0,0,misdemeanor,0,1144,0,52120.0,pretrial,caucasian,divorced,english
male,63,greater than 45,1,1,0,0,low,2013-02-20,0,1,misdemeanor,0,1136,0,40381.0,pretrial,caucasian,divorced,english
male,63,greater than 45,1,1,0,0,low,2013-05-26,0,0,felony,0,1041,0,55092.0,pretrial,caucasian,single,english
male,63,greater than 45,1,1,1,0,low,2013-11-10,1,0,misdemeanor,3,150,1,58873.0,pretrial,caucasian,married,english
female,63,greater than 45,4,1,0,0,low,2013-11-25,0,1,felony,0,858,0,59241.0,drrd,african-american,divorced,english
male,63,greater than 45,1,1,0,0,low,2014-02-05,0,1,felony,0,786,0,60994.0,pretrial,hispanic,single,spanish
male,63,greater than 45,4,1,1,1,low,2013-10-03,1,10,felony,2,70,0,57837.0,pretrial,caucasian,single,english
male,63,greater than 45,1,1,0,0,low,2013-12-12,0,2,felony,0,195,0,59617.0,pretrial,caucasian,divorced,english
male,63,greater than 45,1,1,0,0,low,2013-03-02,0,5,misdemeanor,3,56,0,7258.0,pretrial,caucasian,single,english
male,63,greater than 45,7,5,1,0,medium,2013-06-10,1,10,misdemeanor,0,44,1,3001.0,pretrial,african-american,single,english
female,63,greater than 45,1,1,0,0,low,2013-11-08,0,1,felony,0,875,0,58845.0,pretrial,african-american,single,english
male,62,greater than 45,9,9,0,0,high,2013-10-03,0,15,felony,0,911,0,57827.0,pretrial,african-american,divorced,english
female,62,greater than 45,1,1,1,0,low,2013-02-20,1,1,misdemeanor,0,175,1,52342.0,pretrial,caucasian,separated,english
male,62,greater than 45,1,1,0,0,low,2013-09-26,0,4,felony,0,918,0,57607.0,pretrial,african-american,single,english
male,62,greater than 45,1,1,0,0,low,2013-01-05,0,0,felony,2,444,0,50949.0,pretrial,caucasian,divorced,english
male,62,greater than 45,1,1,0,0,low,2013-11-06,0,0,misdemeanor,0,877,0,58782.0,pretrial,hispanic,single,english
male,62,greater than 45,1,1,0,0,low,2013-10-11,0,0,misdemeanor,1,903,0,58052.0,pretrial,caucasian,divorced,english
female,62,greater than 45,1,1,0,0,low,2013-09-20,0,0,misdemeanor,3,924,0,57420.0,pretrial,caucasian,divorced,english
male,62,greater than 45,1,1,0,0,low,2014-01-23,0,0,misdemeanor,0,799,0,60634.0,pretrial,african-american,married,english
female,62,greater than 45,1,1,1,0,low,2013-12-06,1,2,felony,0,138,1,59464.0,pretrial,caucasian,single,english
male,62,greater than 45,2,2,0,0,low,2013-06-21,0,5,felony,0,59,0,55520.0,pretrial,hispanic,single,english
male,62,greater than 45,1,1,0,0,low,2013-04-18,0,3,misdemeanor,0,1079,0,54017.0,pretrial,caucasian,single,english
female,62,greater than 45,1,1,0,0,low,2013-10-03,0,0,misdemeanor,0,911,0,57821.0,pretrial,caucasian,single,english
male,62,greater than 45,1,1,0,0,low,2013-08-19,0,0,misdemeanor,0,956,0,56533.0,pretrial,other,widowed,english
male,62,greater than 45,1,1,0,0,low,2013-05-13,0,0,felony,2,1054,0,54735.0,pretrial,caucasian,divorced,english
male,62,greater than 45,1,1,0,0,low,2013-10-05,0,0,misdemeanor,1,909,0,57879.0,pretrial,caucasian,married,english
male,62,greater than 45,7,6,0,0,medium,2013-10-19,0,1,misdemeanor,0,895,0,40560.0,pretrial,african-american,single,english
male,62,greater than 45,1,1,0,0,low,2013-01-08,0,0,misdemeanor,0,1179,0,50999.0,pretrial,hispanic,single,english
male,62,greater than 45,1,1,0,0,low,2013-03-30,0,0,felony,0,1098,0,53443.0,pretrial,caucasian,divorced,english
male,62,greater than 45,4,1,0,0,low,2013-02-05,0,8,felony,16,1151,0,50375.0,pretrial,african-american,single,english
male,62,greater than 45,3,1,1,0,low,2013-12-30,1,3,misdemeanor,1,432,1,60038.0,pretrial,african-american,single,english
male,62,greater than 45,1,1,0,0,low,2013-01-16,0,2,felony,0,21,0,51272.0,pretrial,caucasian,divorced,english
male,62,greater than 45,1,1,0,0,low,2013-01-10,0,0,felony,2,1177,0,51055.0,pretrial,caucasian,single,english
male,61,greater than 45,7,4,0,0,medium,2013-03-26,0,25,felony,0,1102,0,18210.0,pretrial,african-american,divorced,english
male,61,greater than 45,1,1,1,0,low,2014-02-18,1,1,felony,0,421,1,61307.0,pretrial,african-american,divorced,english
male,61,greater than 45,2,1,1,0,low,2013-01-15,1,20,misdemeanor,30,58,1,51219.0,pretrial,african-american,single,english
male,61,greater than 45,3,3,0,0,low,2013-02-28,0,11,felony,0,1128,0,16156.0,pretrial,african-american,single,english
male,61,greater than 45,6,3,1,0,medium,2013-04-08,1,15,felony,0,64,1,4551.0,probation,african-american,single,english
male,61,greater than 45,8,5,1,0,high,2013-03-05,1,29,felony,0,88,0,50735.0,pretrial,african-american,married,english
male,61,greater than 45,4,2,0,0,low,2013-09-27,0,1,felony,1,917,0,57666.0,pretrial,caucasian,single,english
male,61,greater than 45,2,2,0,0,low,2013-08-27,0,9,felony,0,253,0,56802.0,pretrial,african-american,single,english
male,61,greater than 45,4,2,1,0,low,2013-04-22,1,13,felony,0,64,0,54161.0,pretrial,african-american,single,english
male,61,greater than 45,6,3,0,0,medium,2013-03-12,0,8,misdemeanor,0,1116,0,52907.0,pretrial,african-american,single,english
male,61,greater than 45,1,1,0,0,low,2013-01-22,0,4,felony,1,1165,0,51421.0,pretrial,caucasian,married,english
male,61,greater than 45,2,1,0,0,low,2013-01-24,0,5,felony,0,157,0,51507.0,pretrial,african-american,divorced,english
male,61,greater than 45,1,1,0,0,low,2013-03-01,0,0,misdemeanor,0,1127,0,52633.0,pretrial,caucasian,married,english
male,61,greater than 45,8,10,0,0,high,2013-10-11,0,2,misdemeanor,1,903,0,58051.0,pretrial,african-american,single,english
male,61,greater than 45,1,1,0,0,low,2013-03-20,0,1,felony,0,1108,0,53137.0,pretrial,caucasian,married,english
male,61,greater than 45,1,1,0,0,low,2013-08-14,0,1,misdemeanor,1,961,0,56419.0,pretrial,african-american,single,english
male,61,greater than 45,1,1,0,0,low,2013-05-31,0,0,misdemeanor,0,1036,0,55206.0,pretrial,caucasian,significant other,english
male,61,greater than 45,1,1,0,0,low,2013-06-04,0,0,misdemeanor,0,66,0,55243.0,pretrial,caucasian,single,english
female,61,greater than 45,1,1,1,0,low,2013-04-27,1,1,felony,0,544,1,54301.0,pretrial,african-american,significant other,english
male,61,greater than 45,1,1,0,0,low,2013-05-13,0,0,misdemeanor,2,1054,0,54751.0,pretrial,caucasian,divorced,english
female,61,greater than 45,3,1,1,0,low,2013-05-07,1,8,felony,31,135,0,35736.0,pretrial,caucasian,widowed,english
male,61,greater than 45,1,1,0,0,low,2013-01-13,0,1,misdemeanor,0,1174,0,30652.0,pretrial,caucasian,single,english
male,61,greater than 45,9,3,1,0,high,2013-05-20,1,4,misdemeanor,2,14,1,54909.0,pretrial,african-american,single,english
male,61,greater than 45,6,5,0,0,medium,2013-10-03,0,10,felony,22,82,0,57803.0,pretrial,caucasian,single,english
male,61,greater than 45,6,5,0,0,medium,2013-10-18,0,4,felony,118,896,0,58205.0,pretrial,caucasian,single,english
male,61,greater than 45,1,1,0,0,low,2013-01-06,0,0,felony,0,1181,0,50950.0,pretrial,hispanic,married,english
female,61,greater than 45,1,1,0,0,low,2013-01-26,0,1,misdemeanor,0,1161,0,51590.0,pretrial,caucasian,divorced,english
male,61,greater than 45,2,2,1,0,low,2013-10-23,0,14,misdemeanor,0,779,1,15114.0,pretrial,african-american,separated,english
male,61,greater than 45,3,4,0,0,low,2013-02-06,0,12,felony,241,1150,0,17427.0,pretrial,african-american,widowed,english
male,61,greater than 45,1,1,1,0,low,2014-03-11,1,1,felony,0,110,1,61882.0,pretrial,caucasian,married,english
male,61,greater than 45,4,2,0,0,low,2013-10-23,0,30,felony,0,891,0,40371.0,pretrial,african-american,married,english
female,61,greater than 45,1,1,0,0,low,2013-12-04,0,0,felony,0,849,0,59374.0,pretrial,caucasian,divorced,english
male,61,greater than 45,1,1,0,0,low,2014-03-04,0,1,felony,0,759,0,61692.0,pretrial,hispanic,single,english
male,61,greater than 45,1,1,0,0,low,2013-05-08,0,0,misdemeanor,6,1059,0,54617.0,pretrial,caucasian,single,english
male,61,greater than 45,1,1,0,0,low,2014-02-05,0,0,misdemeanor,0,786,0,60990.0,pretrial,caucasian,married,english
male,61,greater than 45,1,1,0,0,low,2013-07-10,0,0,misdemeanor,0,996,0,55772.0,pretrial,other,married,english
male,61,greater than 45,2,1,1,0,low,2013-06-26,1,8,felony,0,398,1,55568.0,probation,african-american,divorced,english
female,61,greater than 45,6,2,0,0,medium,2013-11-21,0,15,felony,0,862,0,59153.0,pretrial,caucasian,divorced,english
male,61,greater than 45,4,1,1,0,low,2013-02-24,1,2,felony,2,82,0,52482.0,pretrial,hispanic,divorced,english
male,61,greater than 45,1,1,0,0,low,2014-03-31,0,0,misdemeanor,1,732,0,62377.0,pretrial,caucasian,single,english
female,61,greater than 45,1,1,0,0,low,2013-01-24,0,0,misdemeanor,0,1163,0,51506.0,pretrial,caucasian,divorced,english
female,61,greater than 45,6,3,0,0,medium,2014-02-26,0,1,felony,0,765,0,61523.0,pretrial,african-american,single,english
female,60,greater than 45,1,1,0,0,low,2013-11-25,0,2,felony,0,858,0,59219.0,pretrial,caucasian,divorced,english
male,60,greater than 45,1,1,0,0,low,2013-03-27,0,3,misdemeanor,0,1101,0,53384.0,pretrial,caucasian,married,english
male,60,greater than 45,4,1,1,0,low,2013-05-14,1,15,felony,0,273,1,54788.0,pretrial,african-american,single,english
male,60,greater than 45,1,1,0,0,low,2013-09-20,0,2,felony,1,924,0,57418.0,pretrial,african-american,divorced,english
male,60,greater than 45,1,1,1,0,low,2013-02-18,1,1,misdemeanor,0,56,0,52269.0,pretrial,other,significant other,english
male,60,greater than 45,8,1,0,0,high,2014-02-25,0,9,felony,0,766,0,40074.0,pretrial,african-american,single,english
male,60,greater than 45,1,1,1,0,low,2013-08-18,0,0,felony,1,812,1,56529.0,pretrial,african-american,single,english
male,60,greater than 45,1,1,0,0,low,2013-11-26,0,4,felony,0,408,0,59249.0,pretrial,other,single,english
male,60,greater than 45,1,1,0,0,low,2014-02-23,0,1,misdemeanor,0,768,0,61433.0,pretrial,other,separated,english
male,60,greater than 45,1,1,0,0,low,2013-05-20,0,0,felony,0,786,0,54908.0,pretrial,hispanic,married,english
male,60,greater than 45,9,4,0,0,high,2013-09-10,0,10,felony,0,934,0,49384.0,pretrial,african-american,single,english
